"Trait","Method","Runs","Parameters_reviewed","Parameters_flagged","Runs_with_flags","Minimum_ESS","Maximum_absolute_Geweke"
"CF","BL",5,10,0,0,11928.6670791152,1.7018557419992
"CF","BayesA",5,10,4,2,3660.15995795718,3.38980394470783
"CF","BayesB",5,10,0,0,1982.83735434443,1.49925628490599
"CF","BayesB2",5,10,1,1,3269.91924736006,2.46710180659962
"CF","BayesC",5,10,0,0,31864.9639315094,1.40376786138937
"CF","GBLUP",5,10,0,0,49789.8325647475,1.75172111558095
"CF","RRBLUP",5,10,0,0,48789.5380599041,1.35305550691873
"DCI","BL",5,10,0,0,11913.550355412,1.86924698590546
"DCI","BayesA",5,10,0,0,3209.86228244543,1.3326629296218
"DCI","BayesB",5,10,0,0,1917.26231017685,1.74297882553893
"DCI","BayesB2",5,10,2,1,2988.72492806336,2.0602460309024
"DCI","BayesC",5,10,0,0,34682.6465108952,1.02750182157239
"DCI","GBLUP",5,10,0,0,51597.6154891697,1.64303043335323
"DCI","RRBLUP",5,10,0,0,53720.1477651203,1.45229052059611
"DF","BL",5,10,2,2,11760.5057350543,2.99306262903153
"DF","BayesA",5,10,0,0,2970.90370453661,1.46148945706605
"DF","BayesB",5,10,0,0,2161.80987637567,1.481230532766
"DF","BayesB2",5,10,0,0,2867.47751276596,1.44052992765019
"DF","BayesC",5,10,0,0,38722.7451400672,1.85277112454107
"DF","GBLUP",5,10,2,2,48687.7248867006,2.43635680537273
"DF","RRBLUP",5,10,1,1,50804.4919386733,2.04378162847104
"EP","BL",5,10,0,0,12332.9970734618,0.939648284529638
"EP","BayesA",5,10,0,0,2453.62486774059,1.41778291798153
"EP","BayesB",5,10,0,0,1655.628133263,1.24727866869856
"EP","BayesB2",5,10,0,0,2534.37305685999,1.09089828136604
"EP","BayesC",5,10,0,0,42560.7771986117,1.80968553219016
"EP","GBLUP",5,10,1,1,68627.5302999531,2.01998889980199
"EP","RRBLUP",5,10,0,0,58157.4988196433,1.94201589189265
"FFC","BL",5,10,1,1,11961.1496940315,3.0642954223584
"FFC","BayesA",5,10,0,0,2585.66017882908,1.95782758498875
"FFC","BayesB",5,10,2,2,1587.74954128827,3.06444504810311
"FFC","BayesB2",5,10,2,1,2762.86059974074,3.38003213106249
"FFC","BayesC",5,10,0,0,35590.044390688,1.94024203298925
"FFC","GBLUP",5,10,1,1,44477.8526911976,2.59815084487052
"FFC","RRBLUP",5,10,0,0,46576.8820296434,1.77056821273863
"FFP","BL",5,10,2,2,11688.4280499615,3.04728303285051
"FFP","BayesA",5,10,1,1,2361.23788045594,2.18659641665407
"FFP","BayesB",5,10,1,1,974.843858131058,1.83006327200034
"FFP","BayesB2",5,10,0,0,2487.45851697917,1.83351074848351
"FFP","BayesC",5,10,1,1,42672.7705475902,2.00585078081504
"FFP","GBLUP",5,10,1,1,66391.0542419375,2.7741079995152
"FFP","RRBLUP",5,10,0,0,56587.1059439501,1.67265446200958
"MMCOM","BL",5,10,1,1,11323.6938696187,2.37737839562102
"MMCOM","BayesA",5,10,0,0,4147.60908062329,0.942390112718003
"MMCOM","BayesB",5,10,0,0,2493.47779037293,1.50290412178485
"MMCOM","BayesB2",5,10,0,0,4349.06239574182,1.76816613794077
"MMCOM","BayesC",5,10,2,1,40835.2112020184,2.33098314077023
"MMCOM","GBLUP",5,10,1,1,60153.6496762302,2.77545540633534
"MMCOM","RRBLUP",5,10,0,0,60971.7582484871,1.62273860961501
"PRODCOM","BL",5,10,0,0,12001.6605950296,1.71461188339374
"PRODCOM","BayesA",5,10,1,1,3223.53797698357,2.08694989968641
"PRODCOM","BayesB",5,10,0,0,2053.18620036889,1.54899505362838
"PRODCOM","BayesB2",5,10,1,1,3199.43857466895,2.34102201269887
"PRODCOM","BayesC",5,10,0,0,39569.3183221148,1.58730421881245
"PRODCOM","GBLUP",5,10,0,0,63183.4058980107,1.46160850407745
"PRODCOM","RRBLUP",5,10,2,2,62423.5781259535,2.35426221260725
"PRODEF","BL",5,10,2,2,11298.4732954538,3.00987335532983
"PRODEF","BayesA",5,10,0,0,2487.87219145014,1.54016783442708
"PRODEF","BayesB",5,10,0,0,1973.19354786013,1.63812048652055
"PRODEF","BayesB2",5,10,0,0,2766.47840921314,1.02318716904932
"PRODEF","BayesC",5,10,1,1,39910.6557204271,2.00527123162781
"PRODEF","GBLUP",5,10,0,0,46581.165459613,1.06123056451529
"PRODEF","RRBLUP",5,10,0,0,48153.2028560179,1.98284310794239
"SS","BL",5,10,0,0,11802.9479627474,0.978361334826286
"SS","BayesA",5,10,3,2,3093.31083975681,3.33667673528404
"SS","BayesB",5,10,1,1,2187.53097382727,2.25435951177215
"SS","BayesB2",5,10,0,0,3309.77006582988,1.63123072840943
"SS","BayesC",5,10,0,0,33505.265092509,1.36773784416995
"SS","GBLUP",5,10,1,1,50462.4444159221,2.03045902884775
"SS","RRBLUP",5,10,1,1,46658.3329360537,2.15516453944316
