"Trait","Selected_method","r","Abs_r","p_value","RMSE","MAE","Bias","Slope","Mean_DIC","Delta_DIC","Wprob","ER","Phenotypic_mean","Phenotypic_SD","Selection_objective","NRMSE","Predictive_skill_vs_SD","Correlation_direction","Eligible_by_correlation","Eligible_by_error","Selection_eligible","Eligibility_reason"
"MMCOM","GBLUP",0.535247937022749,0.535247937022749,1.70675860252354e-12,0.225470160751887,0.182110155919601,-0.00413160596516194,0.846478901619426,-18.8903857761347,0.862327516877372,0.150325615188246,1.53904756134752,1.18062806666667,0.26602323092014,"increase",0.847558162390611,0.152441837609389,"positive",TRUE,TRUE,TRUE,"eligible"
"CF","BayesB",0.401399624884797,0.401399624884797,3.56666043005959e-07,2.45859381432064,1.96017538734816,0.033730333019238,0.751818710108133,556.875044791182,0.632411963743493,0.160036416784501,1.37191281569357,23.2468,2.66532980695931,"increase",0.922435117748326,0.0775648822516736,"positive",TRUE,TRUE,TRUE,"eligible"
"PRODCOM","GBLUP",0.346801579879698,0.346801579879698,1.37629857027182e-05,20.2830606679189,16.025940435776,-0.139065359600756,0.740714889769645,1068.83285929872,0,0.227463395016539,1,63.509666,21.5176029853979,"increase",0.942626401355357,0.0573735986446425,"positive",TRUE,TRUE,TRUE,"eligible"
"DF","BL",0.326679560823996,0.326679560823996,4.50287889952416e-05,1.06880037707314,0.837885020737988,-0.00262923290765263,0.609590033295138,348.034504859496,0,0.195437771926325,1,10.1427,1.10781057881006,"increase",0.964786216630262,0.0352137833697379,"positive",TRUE,TRUE,TRUE,"eligible"
"DCI","BL",0.223661653538424,0.223661653538424,0.0059356885633132,0.810207370117793,0.633125231627343,-0.0105014897953872,0.515547060481362,291.886465848697,0,0.222866181794784,1,4.82487333333333,0.815242363573345,"decrease",0.993823930550564,0.00617606944943594,"positive",FALSE,TRUE,FALSE,"fails_correlation"
"FFC","BL",0.218405827910348,0.218405827910348,0.00725227566725222,1.14757089215048,0.888910114289599,-0.00593038820172888,0.483166686480561,377.159896507242,1.28521256112981,0.103488666755605,1.90143008727313,4.15013333333333,1.14745998258463,"increase",1.00009665658719,-9.66565871918235e-05,"positive",FALSE,FALSE,FALSE,"fails_correlation_and_error"
"SS","BL",0.0949763230381019,0.0949763230381019,0.247639326144709,1.23161881287657,0.962749669632014,0.0244377704495424,0.213272423061968,381.477514451527,0,0.183956871060262,1,13.7312,1.17072278483259,"increase",1.05201575371465,-0.0520157537146495,"positive",FALSE,FALSE,FALSE,"fails_correlation_and_error"
"FFP","GBLUP",0.0900667503542239,0.0900667503542239,0.273039635433108,0.580133419812543,0.276344922133153,-0.0036959495129665,0.235643769483463,195.174188752641,0,0.284848771428536,1,1.0572,0.560809721406611,"increase",1.03445678216395,-0.0344567821639474,"positive",FALSE,FALSE,FALSE,"fails_correlation_and_error"
"PRODEF","GBLUP",0.0486773623692226,0.0486773623692226,0.554160631204572,4.83207982810692,3.88528360249427,0.0621151430606893,0.136190510697801,713.451552294055,0,0.214673550613658,1,6.99034204,4.63713698209974,"decrease",1.04203948400914,-0.0420394840091411,"positive",FALSE,FALSE,FALSE,"fails_correlation_and_error"
"EP","GBLUP",-0.0379148419639601,0.0379148419639601,0.645056055744215,0.495485680184146,0.330334617057016,-0.00389129937038377,-0.104850697556928,160.835711867121,0,0.286089658134501,1,2.88683333333333,0.4619362142066,"increase",1.07262791906274,-0.0726279190627404,"negative",FALSE,FALSE,FALSE,"fails_correlation_and_error"
