"IND","FAM","N_traits","Traits","Best_rank","Mean_rank_present","Selection_frequency","Recurrence_class"
"1","1",4,"MMCOM, CF, PRODCOM, DF",8,15.75,1,"high_4plus"
"8","1",3,"MMCOM, CF, DF",22,23.3333333333333,0.75,"intermediate_3"
"26","5",3,"MMCOM, CF, DF",1,12.6666666666667,0.75,"intermediate_3"
"58","8",3,"MMCOM, CF, DF",9,13.6666666666667,0.75,"intermediate_3"
"65","8",3,"MMCOM, CF, DF",4,7.33333333333333,0.75,"intermediate_3"
"93","10",3,"MMCOM, CF, DF",3,6.33333333333333,0.75,"intermediate_3"
"99","10",3,"MMCOM, CF, DF",14,16.6666666666667,0.75,"intermediate_3"
"13","1",2,"CF, DF",1,4.5,0.5,"broad_2"
"2","1",2,"CF, PRODCOM",20,20.5,0.5,"broad_2"
"4","1",2,"MMCOM, DF",2,3.5,0.5,"broad_2"
"9","1",2,"MMCOM, DF",8,15.5,0.5,"broad_2"
"123","4",2,"CF, PRODCOM",21,25.5,0.5,"broad_2"
"22","5",2,"CF, PRODCOM",19,19.5,0.5,"broad_2"
"25","5",2,"MMCOM, CF",17,21.5,0.5,"broad_2"
"27","5",2,"CF, DF",3,3.5,0.5,"broad_2"
"133","6",2,"MMCOM, CF",14,22,0.5,"broad_2"
"136","6",2,"CF, PRODCOM",19,21,0.5,"broad_2"
"151","7",2,"MMCOM, PRODCOM",12,17,0.5,"broad_2"
"57","8",2,"MMCOM, DF",7,13,0.5,"broad_2"
"59","8",2,"CF, DF",19,23.5,0.5,"broad_2"
"63","8",2,"MMCOM, PRODCOM",8,9,0.5,"broad_2"
"64","8",2,"MMCOM, CF",15,18,0.5,"broad_2"
"74","9",2,"MMCOM, DF",7,8,0.5,"broad_2"
"75","9",2,"MMCOM, DF",27,27.5,0.5,"broad_2"
"77","9",2,"MMCOM, DF",4,4.5,0.5,"broad_2"
"87","9",2,"MMCOM, DF",15,18.5,0.5,"broad_2"
"102","10",2,"CF, DF",2,2.5,0.5,"broad_2"
"88","10",2,"MMCOM, DF",6,18,0.5,"broad_2"
"89","10",2,"CF, PRODCOM",16,20.5,0.5,"broad_2"
"90","10",2,"CF, DF",15,22,0.5,"broad_2"
"96","10",2,"CF, DF",6,16,0.5,"broad_2"
