"Trait","Mean_H2","SD_H2","Mean_fold_r","SD_fold_r","Mean_predictive_accuracy","SD_predictive_accuracy"
"MMCOM",0.336055564587296,0.0272075651133106,0.534034044223768,0.100488624620347,0.924646494453373,0.19244464546311
"PRODCOM",0.266333966124571,0.0073227047203098,0.336566420767464,0.0725517662480994,0.651243905286596,0.135077068843859
"PRODEF",0.252863198283855,0.0344908803547206,0.116469406677305,0.150208434138029,0.233861105165607,0.304881116525857
"CF",0.296019387150781,0.0193605254650911,0.404818192084371,0.114804343522287,0.749901860189762,0.228073400744427
"DF",0.293420239828524,0.0175124150261232,0.351720241702464,0.160406173742056,0.646525953475898,0.294067025497194
"DCI",0.276295307117916,0.0203091408933872,0.235759666775557,0.163599839721603,0.45498305994815,0.31166988170954
"EP",0.223144941319634,0.0242443988605291,0.0636799256401383,0.271957778144521,0.158506464483854,0.57326203342384
"FFC",0.257636067227051,0.0375206226038726,0.237482421115786,0.136087586770225,0.470280967288006,0.269063572455721
"FFP",0.207924182085091,0.0166095224744569,0.135643354584096,0.105865903828619,0.304385897237979,0.237267616200625
"SS",0.270802386327957,0.0234422697119513,0.104988715753483,0.110056288578792,0.202190291128379,0.205361576120199
