"Trait","Rank","IND","FAM","Method","Selection_objective","GEBV_centered","GEBV_on_trait_scale","Selection_score","OOF_r","OOF_NRMSE","Selection_proportion","N_available","N_selected"
"MMCOM",1,"149","7","GBLUP","increase",0.151823454866283,1.33245152153295,1.33245152153295,0.535247937022749,0.847558162390611,0.2,150,30
"MMCOM",2,"152","7","GBLUP","increase",0.104555571239049,1.28518363790572,1.28518363790572,0.535247937022749,0.847558162390611,0.2,150,30
"MMCOM",3,"93","10","GBLUP","increase",0.0986709401462121,1.27929900681288,1.27929900681288,0.535247937022749,0.847558162390611,0.2,150,30
"MMCOM",4,"77","9","GBLUP","increase",0.0945354084775081,1.27516347514417,1.27516347514417,0.535247937022749,0.847558162390611,0.2,150,30
"MMCOM",5,"4","1","GBLUP","increase",0.0893783618673187,1.27000642853399,1.27000642853399,0.535247937022749,0.847558162390611,0.2,150,30
"MMCOM",6,"65","8","GBLUP","increase",0.0881548903903573,1.26878295705702,1.26878295705702,0.535247937022749,0.847558162390611,0.2,150,30
"MMCOM",7,"74","9","GBLUP","increase",0.083997911818561,1.26462597848523,1.26462597848523,0.535247937022749,0.847558162390611,0.2,150,30
"MMCOM",8,"63","8","GBLUP","increase",0.0837382087882676,1.26436627545493,1.26436627545493,0.535247937022749,0.847558162390611,0.2,150,30
"MMCOM",9,"58","8","GBLUP","increase",0.0774286610017034,1.25805672766837,1.25805672766837,0.535247937022749,0.847558162390611,0.2,150,30
"MMCOM",10,"26","5","GBLUP","increase",0.0723393982031093,1.25296746486978,1.25296746486978,0.535247937022749,0.847558162390611,0.2,150,30
"MMCOM",11,"153","7","GBLUP","increase",0.0703206524810241,1.25094871914769,1.25094871914769,0.535247937022749,0.847558162390611,0.2,150,30
"MMCOM",12,"151","7","GBLUP","increase",0.06982419038752,1.25045225705419,1.25045225705419,0.535247937022749,0.847558162390611,0.2,150,30
"MMCOM",13,"112","2","GBLUP","increase",0.0661434277056469,1.24677149437231,1.24677149437231,0.535247937022749,0.847558162390611,0.2,150,30
"MMCOM",14,"133","6","GBLUP","increase",0.0618193559740668,1.24244742264073,1.24244742264073,0.535247937022749,0.847558162390611,0.2,150,30
"MMCOM",15,"87","9","GBLUP","increase",0.0596035979622206,1.24023166462889,1.24023166462889,0.535247937022749,0.847558162390611,0.2,150,30
"MMCOM",16,"156","7","GBLUP","increase",0.0590534729270704,1.23968153959374,1.23968153959374,0.535247937022749,0.847558162390611,0.2,150,30
"MMCOM",17,"79","9","GBLUP","increase",0.0574139842612965,1.23804205092796,1.23804205092796,0.535247937022749,0.847558162390611,0.2,150,30
"MMCOM",18,"99","10","GBLUP","increase",0.0553841705453868,1.23601223721205,1.23601223721205,0.535247937022749,0.847558162390611,0.2,150,30
"MMCOM",19,"57","8","GBLUP","increase",0.0527626979302733,1.23339076459694,1.23339076459694,0.535247937022749,0.847558162390611,0.2,150,30
"MMCOM",20,"78","9","GBLUP","increase",0.0527030426041166,1.23333110927078,1.23333110927078,0.535247937022749,0.847558162390611,0.2,150,30
