"","MMCOM","CF","PRODCOM","DF","DCI","FFC","SS","FFP","PRODEF","EP"
"MMCOM",1,0.418459048874236,-0.0286273632834485,0.529794160697659,0.446886634410869,-0.102373077785092,-0.388512079223062,-0.328829053322805,0.15258489173771,0.398196168316892
"CF",0.418459048874236,1,0.145481488790827,0.56996808397023,0.606324555486867,-0.404445229056091,-0.0819300494986989,-0.373470776606514,0.387994640095319,0.270382268950212
"PRODCOM",-0.0286273632834485,0.145481488790827,1,-0.0393839714882827,-0.0659646897165681,0.0362010634402945,-0.0336624661841036,-0.0476767305793798,0.142596360191807,-0.00300743185797182
"DF",0.529794160697659,0.56996808397023,-0.0393839714882827,1,0.864829594600718,-0.226126088998444,-0.266556050227564,-0.290389352723923,0.4641924868656,0.524923234786886
"DCI",0.446886634410869,0.606324555486867,-0.0659646897165681,0.864829594600718,1,-0.283405731908035,-0.0483782883772902,-0.250249786250893,0.408361512663408,0.439161039571661
"FFC",-0.102373077785092,-0.404445229056091,0.0362010634402945,-0.226126088998444,-0.283405731908035,1,0.228716027459675,0.346672968203806,-0.3336901276785,0.141757637299352
"SS",-0.388512079223062,-0.0819300494986989,-0.0336624661841036,-0.266556050227564,-0.0483782883772902,0.228716027459675,1,0.180826421740463,-0.0696207668843019,0.0171924742308385
"FFP",-0.328829053322805,-0.373470776606514,-0.0476767305793798,-0.290389352723923,-0.250249786250893,0.346672968203806,0.180826421740463,1,-0.379208525042593,0.0398097849183579
"PRODEF",0.15258489173771,0.387994640095319,0.142596360191807,0.4641924868656,0.408361512663408,-0.3336901276785,-0.0696207668843019,-0.379208525042593,1,-0.0346832461357933
"EP",0.398196168316892,0.270382268950212,-0.00300743185797182,0.524923234786886,0.439161039571661,0.141757637299352,0.0171924742308385,0.0398097849183579,-0.0346832461357933,1
